# MKBOXPRO + STEVAL-MKI242A 

time[us],vAFE[mV]
260555569,-7.692
260557571,419.282
260561363,338.872
260564092,338.872
260566114,196.564
260569746,110.974
260574259,65.282
260577868,44.103
260582389,26.615
260586912,13.282
260590544,5.077
260595057,4.154
260598691,0.256
260603211,-1.026
260607730,-1.231
260611362,0.205
260615873,-2.462
260619483,0.103
260624004,-3.077
260628527,-3.282
260632159,0.615
260636675,-3.846
260640306,-7.282
260644829,1.641
260649328,-1.641
260652959,-4.872
260656566,-4.872
260657474,-1.795
260661114,-0.923
260665844,0.872
260669464,-4.667
260673985,-6.205
260678507,-2.462
260682140,0.410
260686659,-7.590
260689403,-7.590
260690415,-3.179
260694962,-1.949
260699465,0.000
260703097,-3.231
260707617,-4.564
260711250,-0.462
260715770,-0.769
260720289,-5.179
260723923,-4.718
260728419,-2.564
260732022,-0.103
260736543,-5.692
260741062,-5.538
260744694,-1.487
260749189,0.615
260752821,-4.615
260757342,-1.795
260761201,-2.872
260765720,-0.462
260770239,-2.154
260773870,-1.897
260778371,0.769
260781983,-1.026
260786502,-5.846
260791024,-1.949
260794656,-0.564
260799174,-1.436
260802807,-1.077
260807329,-5.077
260811827,-2.513
260815449,-1.641
260819952,-5.487
260822670,-5.487
260823682,-3.744
260828204,-5.487
260832723,-3.385
260836355,-5.026
260840876,-2.513
260844487,-0.410
260849009,-0.410
260853531,-3.538
260857382,-2.974
260858324,-2.974
260861925,-0.667
260865557,-0.718
260870061,-4.359
260873695,-5.692
260878215,-0.462
260882735,-0.462
260886365,-6.974
260890877,-3.077
260894487,-0.667
260899008,0.615
260903530,-3.897
260907162,-4.410
260911674,0.615
260915306,1.282
260919829,-6.051
260924327,-0.205
260927950,-1.077
260932459,-4.051
260936965,-6.308
260940596,-2.923
260945116,0.923
260948752,0.051
260950579,0.051
260953533,-4.923
260955361,-4.923
260956348,-4.923
260957306,-5.538
260959144,-5.538
260961857,-2.205
260965486,-0.513
260969989,-3.487
260974489,-4.513
260978122,-3.128
260982641,-0.205
260986275,-3.846
260990785,-7.231
260995304,-2.000
260998938,-0.718
261003439,-5.231
261007061,-4.308
261011581,-1.231
261016100,-0.718
261019732,-4.462
261024231,-4.821
261027853,-4.359
261032376,-1.436
261036899,-3.590
261040531,-2.000
261045028,-2.256
261046859,-2.256
261048900,-3.077
261053403,-4.308
261057022,-3.077
261060654,-3.077
261061562,0.462
261066082,-3.282
261069714,-6.154
261074212,-2.564
261077844,-1.231
261082367,0.205
261086890,-5.590
261088744,-5.590
261089702,-5.590
261090660,-5.333
261095198,-2.308
261098829,-1.487
261103324,-4.410
261106956,-1.077
261111478,-3.436
261116002,-2.000
261119633,-3.333
261124152,-7.282
261127784,0.410
261132304,-2.000
261136807,-6.667
261140411,-3.897
261143128,-3.897
261145149,-2.462
261148809,-0.821
261153314,-4.974
261156945,-6.308
261161468,-1.077
261165985,0.000
261169616,-6.462
261174135,-2.718
261177767,1.128
261182289,-3.692
261186794,-5.333
261190409,-3.538
261194914,-1.436
261199437,-1.231
261203068,-2.872
261207591,-5.436
261211226,-0.051
261215746,-0.923
261220266,-4.821
261222096,-4.821
261223054,-4.821
261224040,-5.385
261228563,-0.051
261232195,-2.410
261236699,-2.051
261239441,-2.051
261240563,-1.231
261245113,-0.821
261248748,0.410
261253267,-6.513
261257788,-4.974
261261421,-1.179
261262360,-1.179
261265940,0.462
261269562,-4.000
261274082,-5.333
261278600,-1.436
261282232,0.308
261286731,-6.154
261290353,-6.821
261294876,-0.205
