timestamp,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,temp,pressure,qvar
2025-07-21T11:09:40.502177,40,-45,-1007,-70,280,-70,-454,1017,2478,27.79,1012.84,0.02
2025-07-21T11:09:40.817154,38,-45,-1007,-210,280,70,-450,1020,2470,27.8,1012.79,0.02
2025-07-21T11:09:41.314008,37,-46,-1007,-140,280,70,-447,1015,2476,,,0.01
2025-07-21T11:09:41.813622,39,-44,-1009,-280,280,0,-450,1009,2473,27.79,1012.75,
2025-07-21T11:09:42.321513,37,-46,-1008,-210,350,70,-445,1021,2478,,,0.14
2025-07-21T11:09:42.821691,38,-44,-1006,-140,350,0,-444,1012,2473,27.8,,0.05
2025-07-21T11:09:43.320658,39,-43,-1008,-70,280,-70,-457,1014,2485,,1012.79,0.05
2025-07-21T11:09:43.821441,39,-43,-1006,-70,350,0,,,,27.79,,
2025-07-21T11:09:43.832950,,,,,,,-442,1018,2476,,,0.12
2025-07-21T11:09:44.330617,38,-46,-1010,-140,420,70,-453,1021,2482,,1012.86,0.12
2025-07-21T11:09:44.826132,39,-43,-1008,-140,350,0,-448,1018,2478,27.79,,0.03
2025-07-21T11:09:45.331576,36,-44,-1007,-280,280,0,-450,1032,2473,,1012.9,0.07
2025-07-21T11:09:45.832694,39,-45,-1009,-210,350,-70,-448,1032,2481,27.8,,0.05
2025-07-21T11:09:46.331550,37,-47,-1008,-140,280,0,-459,1032,2487,,1012.87,
2025-07-21T11:09:46.842134,39,-45,-1009,-280,280,70,-445,1027,2484,27.79,,0.1
2025-07-21T11:09:47.342403,38,-46,-1006,-70,280,0,-447,1018,2481,,1012.8,0.06
2025-07-21T11:09:47.840167,,,,,,,,,,27.8,,
2025-07-21T11:09:47.850915,,,,0,210,0,-459,1024,2475,,,0.1
2025-07-21T11:09:48.339598,40,-42,-1007,,,,,,,,1012.82,
2025-07-21T11:09:48.351115,,,,70,280,-70,-448,1020,2481,,,0.01
2025-07-21T11:09:48.849377,41,-44,-1006,70,210,-70,-454,1023,2475,27.8,,0.1
2025-07-21T11:09:49.348020,39,-42,-1009,-70,420,0,-444,1020,2476,,1012.82,0.1
2025-07-21T11:09:49.848345,41,-42,-1007,0,350,-70,-453,1015,2470,27.8,,0.06
2025-07-21T11:09:50.348963,38,-45,-1009,-210,350,-70,-450,1020,2481,,1012.82,0.1
2025-07-21T11:09:50.849477,40,-42,-1007,,,,,,,27.79,,
2025-07-21T11:09:50.860104,,,,-140,280,0,-448,1018,2479,,,0.01
2025-07-21T11:09:51.358591,38,-44,-1008,-210,350,0,-457,1033,2475,,1012.84,0.16
2025-07-21T11:09:51.859568,36,-38,-1012,-280,140,0,-448,1026,2473,27.8,,0.15
2025-07-21T11:09:52.358812,52,-41,-1068,5040,8680,-490,-462,973,2418,,1012.85,0.1
2025-07-21T11:09:52.861084,-9,-109,-954,-27580,-11690,24010,-415,982,-127,27.8,,0.01
2025-07-21T11:09:53.359332,51,135,-991,,,,,,,,1012.85,
2025-07-21T11:09:53.370323,,,,20930,-5530,32200,-67,6,-769,,,0.05
2025-07-21T11:09:53.860772,45,-140,-915,-13300,28910,21070,,,,27.79,,
2025-07-21T11:09:53.872499,,,,,,,9,-1,-751,,,0.01
2025-07-21T11:09:54.370026,131,-11,-959,-7490,34090,44310,172,-13,-547,,1012.79,0.07
2025-07-21T11:09:54.868320,130,-12,-997,1470,2450,53620,147,-19,-400,27.8,,0.1
2025-07-21T11:09:55.367337,,,,,,,,,,,1012.79,
2025-07-21T11:09:55.378117,67,-132,-1012,9100,16380,35700,172,114,-379,,,0.14
2025-07-21T11:09:55.876947,21,-21,-977,770,9380,60970,246,15,-465,27.79,,0.03
2025-07-21T11:09:56.377724,149,-57,-1012,-770,3360,5950,261,-19,-474,,1012.81,0.1
2025-07-21T11:09:56.876224,59,-78,-973,13300,-12880,-68180,258,-19,-493,27.79,,0.01
2025-07-21T11:09:57.377637,45,-103,-992,10990,-4900,-68180,190,-28,-492,,1012.77,0.02
2025-07-21T11:09:57.887800,24,-117,-999,-24640,19950,-71680,153,-51,-564,27.8,,0.01
2025-07-21T11:09:58.386668,-25,-2,-999,-1680,-12040,-61390,69,-96,-627,,1012.73,0.02
2025-07-21T11:09:58.886104,-119,-50,-993,-11620,-3640,-44660,55,-240,-744,27.79,,0.05
2025-07-21T11:09:59.384899,-131,-52,-964,-2660,-5390,-24290,93,-348,-810,,,0.1
2025-07-21T11:09:59.885874,-102,-84,-992,2590,3430,-16800,145,-427,-883,27.79,1012.77,0.19
2025-07-21T11:10:00.397551,-143,-108,-1058,-4410,-5040,-17010,207,-447,-909,,,0.01
2025-07-21T11:10:00.893196,-42,-84,-950,1960,-11130,-840,192,-423,-912,27.8,1012.8,0.07
2025-07-21T11:10:01.394171,-135,67,-988,-74340,-81760,-36820,199,-405,-946,,,0.03
2025-07-21T11:10:01.893416,-34,-55,-1029,-8680,22120,-31780,238,-354,-906,27.79,1012.82,
2025-07-21T11:10:02.395464,10,-131,-1021,-13300,-5110,-10360,258,-288,-874,,,0.01
2025-07-21T11:10:02.895221,,,,,,,,,,,1012.8,
2025-07-21T11:10:02.906363,-82,-125,-978,-16240,-10360,-59500,258,-286,-856,27.8,,0.05
2025-07-21T11:10:03.404230,5,-7,-1019,-1540,12810,-19950,234,-243,-828,,,0.01
2025-07-21T11:10:03.901430,2,-14,-1016,-5460,560,-3080,,,,27.8,1012.77,
2025-07-21T11:10:03.913655,,,,,,,232,-252,-847,,,0.12
2025-07-21T11:10:04.412480,-37,-49,-1009,6510,-11340,28490,222,-273,-846,,,0.11
2025-07-21T11:10:04.913883,525,-3,-956,-44030,15190,6160,100,159,-762,27.8,1012.77,0.05
2025-07-21T11:10:05.412845,530,-123,-896,-8190,-10780,25200,39,123,-811,,,0.14
2025-07-21T11:10:05.912535,480,-87,-933,-3640,-10990,14700,108,120,-847,27.8,1012.78,0.15
2025-07-21T11:10:06.413414,286,-243,-939,25900,-3360,26670,135,37,-850,,,0.17
2025-07-21T11:10:06.913160,-91,-177,-1014,-35070,1050,31640,33,-286,-1011,27.8,1012.84,
2025-07-21T11:10:07.423812,130,114,-934,-6790,27860,18410,-174,-265,-979,,,0.01
2025-07-21T11:10:07.923224,213,10,-972,-30590,14350,17780,96,-93,-985,27.79,1012.8,0.06
2025-07-21T11:10:08.421872,137,60,-1011,-32690,-5040,10710,108,-75,-930,,,0.05
2025-07-21T11:10:08.921645,131,129,-1002,4550,-8120,-1470,,,,27.8,1012.77,
2025-07-21T11:10:08.934355,,,,,,,84,-60,-972,,,0.05
